date,value
1970-01-01,3615
1970-02-01,3703
1970-03-01,3697
1970-04-01,3669
1970-05-01,3634
1970-06-01,3636
1970-07-01,3645
1970-08-01,3649
1970-09-01,3618
1970-10-01,3626
1970-11-01,3643
1970-12-01,3688
1971-01-01,3643
1971-02-01,3633
1971-03-01,3674
1971-04-01,3735
1971-05-01,3750
1971-06-01,3759
1971-07-01,3786
1971-08-01,3786
1971-09-01,3820
1971-10-01,3867
1971-11-01,3903
1971-12-01,3867
1972-01-01,3912
1972-02-01,3888
1972-03-01,3921
1972-04-01,3931
1972-05-01,3957
1972-06-01,3969
1972-07-01,3939
1972-08-01,3983
1972-09-01,4000
1972-10-01,4038
1972-11-01,4002
1972-12-01,3937
1973-01-01,4004
1973-02-01,4071
1973-03-01,4089
1973-04-01,4106
1973-05-01,4137
1973-06-01,4193
1973-07-01,4232
1973-08-01,4233
1973-09-01,4237
1973-10-01,4232
1973-11-01,4232
1973-12-01,4239
1974-01-01,4196
1974-02-01,4259
1974-03-01,4255
1974-04-01,4225
1974-05-01,4198
1974-06-01,4146
1974-07-01,4045
1974-08-01,4059
1974-09-01,4009
1974-10-01,3972
1974-11-01,3911
1974-12-01,3860
1975-01-01,3841
1975-02-01,3718
1975-03-01,3628
1975-04-01,3565
1975-05-01,3552
1975-06-01,3526
1975-07-01,3501
1975-08-01,3547
1975-09-01,3573
1975-10-01,3587
1975-11-01,3604
1975-12-01,3641
1976-01-01,3688
1976-02-01,3687
1976-03-01,3685
1976-04-01,3684
1976-05-01,3649
1976-06-01,3632
1976-07-01,3627
1976-08-01,3632
1976-09-01,3634
1976-10-01,3645
1976-11-01,3678
1976-12-01,3688
1977-01-01,3660
1977-02-01,3775
1977-03-01,3859
1977-04-01,3904
1977-05-01,3930
1977-06-01,3962
1977-07-01,3981
1977-08-01,3995
1977-09-01,4023
1977-10-01,4034
1977-11-01,4058
1977-12-01,4087
1978-01-01,4029
1978-02-01,4058
1978-03-01,4178
1978-04-01,4308
1978-05-01,4302
1978-06-01,4379
1978-07-01,4403
1978-08-01,4420
1978-09-01,4424
1978-10-01,4447
1978-11-01,4453
